id,institution_id,department_id,min_mark,,
1,1,1,50,,
2,1,1,50,,
3,1,1,50,,
4,1,1,50,,
5,1,1,50,,
6,1,2,50,,
7,1,2,50,,
8,1,2,50,,
9,1,2,50,,
10,1,2,50,,
11,1,3,50,,
12,1,3,50,,
13,1,3,50,,
14,1,3,50,,
15,1,3,50,,
16,1,4,50,,
17,1,4,50,,
18,1,4,50,,
19,1,4,50,,
20,1,4,50,,
21,1,5,50,,
22,1,5,50,,
23,1,5,50,,
24,1,5,50,,
25,1,5,50,,
26,1,6,50,,
27,1,6,50,,
28,1,6,50,,
29,1,6,50,,
30,1,6,50,,
31,2,7,50,,
32,2,7,50,,
33,2,7,50,,
34,2,7,50,,
35,2,7,50,,
36,2,8,50,,
37,2,8,50,,
38,2,8,50,,
39,2,8,50,,
40,2,8,50,,
41,2,9,50,,
42,2,9,50,,
43,2,9,50,,
44,2,9,50,,
45,2,9,50,,
46,2,10,50,,
47,2,10,50,,
48,2,10,50,,
49,2,10,50,,
50,2,10,50,,
51,2,11,50,,
52,2,11,50,,
53,2,11,50,,
54,2,11,50,,
55,2,11,50,,
56,2,12,50,,
57,2,12,50,,
58,2,12,50,,
59,2,12,50,,
60,2,13,50,,
61,2,13,50,,
62,2,13,50,,
63,2,13,50,,
64,2,13,50,,
66,4,8,50,,
67,4,8,50,,
68,4,8,50,,
69,4,8,50,,
70,4,8,50,,
71,4,9,50,,
72,4,9,50,,
73,4,9,50,,
74,4,9,50,,
75,4,9,50,,
76,4,10,50,,
77,4,10,50,,
78,4,10,50,,
79,4,10,50,,
80,4,10,50,,
81,4,11,50,,
82,4,11,50,,
83,4,11,50,,
84,4,11,50,,
85,4,11,50,,
86,3,20,50,,
87,3,21,50,,
88,3,22,50,,
89,3,23,50,,
90,3,24,50,,
91,3,25,50,,
92,3,26,50,,
93,3,27,50,,
94,3,28,50,,
95,3,29,50,,
96,3,30,50,,
97,3,31,50,,
98,3,32,50,,
